시도,지역구분,출고대수
서울,서울특별시,3944
부산,부산광역시,561
대구,대구광역시,4432
인천,인천광역시,578
광주,광주광역시,536
대전,대전광역시,835
울산,울산광역시,375
세종,세종특별자치시,262
경기,수원시,251
경기,성남시,272
경기,의정부시,40
경기,안양시,71
경기,부천시,160
경기,광명시,28
경기,평택시,80
경기,동두천시,25
경기,안산시,160
경기,고양시,219
경기,과천시,6
경기,남양주시,260
경기,오산시,17
경기,시흥시,81
경기,군포시,28
경기,의왕시,19
경기,하남시,74
경기,용인시,258
경기,파주시,93
경기,이천시,76
경기,안성시,53
경기,김포시,130
경기,화성시,132
경기,광주시,32
경기,양주시,48
경기,포천시,21
경기,여주시,10
경기,구리시,27
경기,연천군,9
경기,가평군,12
경기,양평군,40
강원,원주시,149
강원,강릉시,248
강원,동해시,22
강원,태백시,0
강원,태백시,2
강원,속초시,22
강원,삼척시,52
강원,홍천군,4
강원,횡성군,5
강원,영월군,0
강원,평창군,15
강원,철원군,7
강원,화천군,0
강원,화천군,0
전국,양구군,10
강원,양구군,10
강원,인제군,5
강원,고성군,2
강원,양양군,10
충북,청주시,157
충북,청주시,282
충북,충주시,126
충북,제천시,44
충북,보은군,11
충북,옥천군,8
충북,영동군,30
충북,증평군,1
충북,진천군,30
충북,괴산군,22
충북,음성군,20
충북,단양군,31
충남,천안시,100
충남,공주시,33
충남,보령시,17
충남,아산시,148
충남,서산시,0
충남,논산시,23
충남,당진시,19
충남,계룡시,40
충남,금산군,17
충남,부여군,10
충남,서천군,10
충남,청양군,0
충남,홍성군,12
충남,예산군,6
충남,예산군,21
충남,태안군,18
전북,전주시,159
전북,군산시,27
전북,익산시,57
전북,정읍시,8
전북,남원시,19
전북,김제시,6
전북,완주군,22
전북,진안군,4
전북,무주군,6
전북,장수군,5
전북,임실군,10
전북,순창군,7
전북,고창군,8
전북,부안군,7
전남,목포시,0
전남,여수시,55
전남,여수시,57
전남,순천시,105
전남,나주시,79
전남,광양시,9
전남,담양군,5
전남,곡성군,0
전남,구례군,5
전남,고흥군,10
전남,화순군,10
전남,장흥군,5
전남,강진군,3
전남,해남군,7
전남,영암군,5
전남,영암군,12
전남,무안군,11
전남,영광군,11
전남,장성군,10
전남,완도군,3
전남,신안군,3
경북,포항시,300
경북,경주시,133
경북,김천시,31
경북,안동시,9
경북,구미시,0
경북,영주시,10
경북,영천시,19
경북,영천시,4
경북,상주시,11
경북,문경시,6
경북,경산시,15
경북,군위군,8
경북,의성군,21
경북,청송군,3
경북,영양군,4
경북,영덕군,10
경북,청도군,14
경북,고령군,10
경북,성주군,9
경북,칠곡군,5
경북,예천군,10
경북,봉화군,1
경북,울진군,12
경북,울릉군,56
경남,창원시,390
경남,진주시,25
경남,통영시,24
경남,사천시,36
경남,김해시,147
경남,밀양시,37
경남,거제시,43
경남,양산시,110
경남,의령군,1
경남,의령군,1
경남,함안군,14
경남,창녕군,6
경남,창녕군,5
경남,고성군,5
전국,남해군,4
경남,남해군,10
경남,하동군,5
경남,산청군,10
경남,산청군,8
경남,함양군,2
경남,거창군,8
경남,합천군,6
제주,제주시,5727
전국,한국환경공단,162
