지역,2016,2017,2018,2019,2020,지역별 합계
강원도,5,118,142,169,174,608
경기도,22,572,632,682,737,2645
경상남도,23,197,233,253,265,971
경상북도,8,128,178,192,209,715
광주광역시,4,54,76,87,91,312
대구광역시,4,181,205,223,241,854
대전광역시,3,86,98,105,107,399
부산광역시,6,97,120,126,137,486
서울특별시,28,444,518,546,580,2116
세종특별자치시,1,48,61,61,63,234
울산광역시,4,38,42,45,48,177
인천광역시,3,117,129,134,148,531
전라남도,20,127,154,173,186,660
전라북도,9,109,130,143,149,540
제주특별자치도,7,156,186,205,203,757
충청남도,5,74,98,110,119,406
충청북도,13,125,145,153,173,609
연도별 합계,165,2671,3147,3407,3630,13020
